score,time
7851.85,75614
7714.78,1510739
7603.01,2991787
7443.76,4642012
7443.76,6235455
7152.92,7766019
6940.7,9281881
6940.7,10891055
6822.7,12315186
6822.7,13768007
6822.7,15215591
6822.7,16514516
6770.91,17794562
6770.91,19043457
6770.91,20272675
6770.91,21421818
6770.91,22490646
6757.57,23424625
6757.57,24239702
6722.34,24847335
6722.34,25296214
6722.34,25654589
6722.34,26018819
6722.34,26473066
6680.16,27089876
6680.09,27787236
6654.76,28285675
6654.76,28721324
6654.76,29146612
6654.76,29447350
6523.11,29541413
6523.11,29623263
6523.11,29756725
6523.11,30201521
6475.5,30794393
6475.06,31266629
6475.06,31666942
6475.06,31859216
6475.06,31927746
6457.08,31967997
6420.18,31998687
6420.18,32028252
6420.18,32059933
6419.5,32092698
6411.59,32127693
6404.25,32159422
6394.22,32191333
6387.87,32220399
6335.01,32268214
6335.01,32318683
6335.01,32368095
6335.01,32421207
6333.42,32484131
6333.42,32541481
6331.97,32586711
6331.97,32624521
6331.97,32655339
6331.97,32687093
6331.97,32717870
6331.97,32753088
6326.32,32785520
6326.32,32817289
6322.88,32842941
6308.35,32871334
6308.35,32901045
6308.29,32927309
6308.29,32954064
6308.29,32989772
6297.74,33015913
6297.48,33046774
6293.88,33073587
6293.06,33109306
6293.06,33144117
6293.06,33177937
6283.21,33212372
6283.21,33250773
6260.32,33276478
6248.12,33310461
6248.12,33344290
6248.12,33378182
6228.06,33415768
6228.06,33453874
6203.64,33499946
6203.64,33526695
6180.52,33555836
6180.52,33585802
6174.46,33615872
6174.46,33646609
6174.46,33678548
6168.94,33716884
6168.94,33756962
6168.94,33796776
6168.39,33837423
6162.67,33877508
6162.67,33917750
6162.67,33952847
6158.25,33983014
6138.69,34014539
6138.69,34046503
6138.69,34080246
6116.17,34111610
6116.17,34142703
6108.16,34174437
6108.16,34209310
6095.36,34245900
6095.36,34283084
6070.93,34320284
6070.93,34357933
6070.93,34395092
6070.93,34437700
6069,34472562
6037.43,34503976
6037.43,34534965
6036.92,34561650
6033.83,34588515
6033.83,34615074
6028.44,34650910
6028.44,34677384
6019.06,34709181
6019.06,34742819
5991.33,34778623
5983.24,34818022
5983.24,34854759
5981.81,34881112
5980.34,34909546
5980.34,34941224
5980.34,34972037
5980.34,35007719
5980.34,35047094
5979.63,35087439
5978.36,35129468
5944.16,35182394
5942.03,35220530
5942.03,35255912
5942.03,35288343
5941.49,35320524
5934.96,35359496
5931.72,35394140
5927.13,35425972
5927.13,35464674
5927.13,35507418
5926.95,35540090
5926.95,35572813
5907.11,35620156
5904.43,35661933
5902.89,35695342
5891.96,35743472
5891.96,35810112
5879.9,35845555
5877.69,35879253
5877.69,35928068
5877.69,35981488
5877.26,36031188
5877.26,36097055
5864.98,36154981
5864.98,36217563
5864.98,36275255
5864.98,36325602
5860.47,36365464
5853.75,36406028
5853.75,36455268
5853.75,36489624
5853.75,36529516
5853.75,36587492
5853.75,36647223
5850.19,36695893
5849.56,36735993
5849.56,36769113
5849.56,36805725
5846.89,36847040
5846.89,36885968
5845.27,36920492
5844.42,36962914
5840.76,36993677
5839.16,37041015
5833.48,37080491
5830.19,37130363
5830.19,37180829
5830.19,37243728
5825.82,37289372
5825.82,37333560
5825.82,37380378
5812.68,37422475
5812.68,37462795
5788.21,37516521
5788.21,37560500
5788.21,37604993
5780.9,37649944
5780.9,37692354
5780.9,37730812
5780.9,37771997
5780.9,37814639
5780.9,37866295
5772.22,37916622
5772.22,37969337
5772.22,38015435
5772.22,38051304
5772.22,38083653
5772.22,38113571
5767.35,38140024
5766.8,38168909
5766.8,38199375
5765.89,38226173
5759.93,38268998
5749.39,38297475
5735.04,38329563
5735.04,38361623
5735.04,38395760
5731.19,38439973
5723.18,38472978
5704.82,38504043
5698,38536254
5694.44,38579737
5694.44,38621303
5694.44,38658824
5694.44,38689996
5694.44,38720600
5694.44,38751828
5690.09,38787891
5685.86,38815742
5662.8,38852585
5662.8,38886889
5662.8,38922756
5660.8,38950183
5660.8,38978201
5660.8,39006388
5653.02,39031514
5651.79,39058194
5648.78,39086511
5648.78,39118774
5648.62,39149965
5642.41,39175825
5627.85,39203268
5627.85,39229422
5624.63,39261305
5617.94,39287824
5616.93,39316579
5616.93,39342409
5613.23,39378735
5612.41,39425470
5611.39,39452980
5610.03,39502196
5599.02,39544174
5599.02,39583880
5586.15,39626984
5586.15,39655043
5586.15,39682948
5586.15,39711588
5580.49,39743773
5580.49,39779945
5580.49,39815866
5579.27,39846750
5579.27,39877941
5578.8,39909779
5577.25,39936781
5577.25,39972169
5571.88,39998526
5544.84,40034560
5544.84,40071100
5544.84,40106056
5537.41,40135393
5537.41,40164860
5537.41,40194502
5537.41,40225570
5531.67,40265825
5530.22,40294993
5524.04,40324952
5520.83,40364210
5512.09,40401232
5511.9,40439246
5511.9,40473209
5511.9,40505569
5511.9,40534496
5511.9,40562123
5505.5,40596730
5505.28,40634185
5505.28,40662558
5500.13,40689424
5496.7,40716148
5496.7,40742886
5489.71,40777953
5480.36,40806677
5480.36,40833463
5480.36,40867043
5469.08,40901361
5455.63,40936523
5455.63,40975028
5455.63,41005215
5445.97,41035760
5432.86,41062184
5428.91,41099620
5422.42,41129993
5422.42,41157543
5420.27,41189225
5420.27,41217302
5420.27,41243817
5403.78,41275219
5402.54,41314864
5402.54,41346938
5402.54,41373389
5395.77,41411175
5395.77,41444481
5390.76,41472373
5384.22,41501777
5381.82,41534171
5381.82,41560434
5381.82,41591319
5381.82,41623026
5379.49,41653573
5377.48,41679778
5377.48,41717076
5371.72,41743788
5361.16,41781494
5361.16,41816387
5354.61,41846343
5354.61,41874697
5354.61,41907920
5353.88,41939738
5353.85,41968528
5353.63,42002913
5352.24,42032155
5351.23,42060312
5350.14,42088586
5349.13,42117648
5345.02,42149646
5336.55,42176992
5328.16,42219419
5328.16,42262214
5328.16,42306957
5326.63,42345208
5321.41,42380564
5321.41,42420799
5321.4,42457967
5306.16,42490433
5301.99,42521929
5301.99,42553332
5297.59,42582837
5293.19,42615259
5293.19,42662208
5293.19,42709711
5289.75,42740066
5285.66,42770326
5285.66,42801615
5285.66,42854362
5283.1,42896108
5280.11,42929854
5270.9,42966204
5263.26,42998723
5262.9,43042665
5252.02,43090957
5251.32,43141730
5245.85,43184889
5245.85,43221592
5236.32,43267309
5221.24,43296240
5216.33,43338255
5215.11,43388014
5215.11,43426012
5211.35,43468061
5211.35,43505326
5198.74,43551200
5194.25,43589407
5194.25,43621757
5176.19,43663586
5176.19,43693676
5173.94,43720949
5173.94,43749774
5173.94,43777777
5168.16,43818378
5168.16,43862932
5166.34,43896166
5165.48,43934242
5163.6,43974624
5159.38,44019580
5152.57,44054437
5152.57,44084617
5146.77,44117641
5145.53,44152398
5143.44,44182649
5143.36,44217534
5143.36,44249772
5141.37,44287117
5139.22,44330895
5139.22,44362617
5139.22,44403641
5139,44438186
5138.99,44480719
5138.03,44510714
5130.55,44540448
5130.55,44583085
5130.55,44626580
5129.38,44656996
5124.87,44699806
5124.87,44742518
5123.68,44769209
5123.68,44808972
5121.45,44837916
5121.45,44870669
5121.42,44901667
5119.51,44934605
5115.63,44961162
5105.48,44990339
5105.16,45021182
5105.16,45053116
5105.16,45082398
5101.19,45113520
5101.19,45159371
5101.19,45190095
5100.33,45221226
5082.35,45251553
5082.35,45290689
5078.75,45330336
5074.31,45368251
5074.31,45406242
5073.15,45436593
5060.65,45469836
5054.66,45500555
5050.72,45542139
5027.63,45573681
5027.63,45618553
5024.76,45666576
5017.27,45697604
5017.27,45735492
5016.92,45773587
5016.92,45810075
5016.92,45840197
5016.75,45869281
5015.93,45915812
5015.93,45946849
5014.08,45976354
5013.26,46002538
5013.21,46034172
5013.21,46064240
5013.21,46098695
4994.02,46132177
4981.81,46176505
4981.81,46217349
4971.43,46267494
4971.43,46308055
4953.12,46360876
4953.12,46410037
4942.46,46451302
4940.9,46489710
4940.9,46528804
4940.9,46575198
4936,46628699
4936,46666160
4936,46706686
4931.05,46748754
4924.9,46780901
4918.62,46819111
4915.9,46862966
4908.86,46906288
4906.82,46955957
4906.82,47005423
4906.82,47052531
4906.82,47097857
4905.59,47138407
4905.59,47190442
4904.31,47224610
4904.31,47269136
4902.49,47300079
4893.87,47347245
4893.21,47377119
4879.13,47408838
4867.93,47437119
4863.79,47465271
4861.96,47492989
4860.24,47526773
4860.23,47563222
4859.43,47589081
4859.43,47621036
4843.33,47653250
4843.33,47698502
4837.54,47746446
4837.54,47789123
4837.54,47820243
4837.54,47851240
4834.32,47882025
4834.32,47912646
4818.28,47938155
4817.5,47968431
4817.5,47999646
4817.5,48039747
4813.65,48068987
4804.52,48107121
4802.82,48134654
4802.82,48161414
4801.96,48189645
4801.96,48218077
4799.22,48252037
4795,48291338
4793.96,48317586
4793.96,48344036
4793.96,48371370
4792.18,48401115
4791.28,48434387
4786.78,48474146
4786.78,48500480
4783.83,48527916
4771.05,48560088
4760.35,48592554
4760.35,48619857
4760.35,48647083
4755.85,48681579
4755.85,48717476
4755.85,48753119
4755.85,48789139
4755.85,48820499
4734.27,48847073
4728.01,48877029
4728.01,48903273
4727.74,48939491
4727.73,48978685
4726.22,49005475
4717.21,49039679
4713.92,49075595
4711.78,49104017
4711.78,49133022
4711.78,49165342
4711.78,49201999
4711.78,49238788
4711.25,49273578
4711.25,49309783
4710.48,49341840
4706.68,49386337
4706.68,49412922
4704.14,49439719
4698.91,49478498
4694.85,49520213
4694.85,49559186
4694.85,49586309
4692,49621685
4690.64,49646726
4688.43,49680674
4688.43,49713804
4686.14,49739246
4670.64,49765443
4660.42,49790442
4658.69,49824316
4658.69,49858900
4656.08,49892222
4654.18,49925819
4654.18,49959612
4654.18,49994517
4648.22,50020607
4648.22,50046539
4639.23,50072759
4629.2,50104626
4629.2,50131628
4629.2,50158493
4629.2,50186681
4624.07,50211928
4624.07,50238218
4624.07,50271812
4622.73,50297622
4622.73,50324240
4621.75,50351939
4621.75,50392630
4620.79,50418854
4608.26,50445074
4598.24,50481920
4598.24,50508133
4594.27,50536285
4594.27,50564978
4592.16,50594875
4592.16,50621588
4590.17,50656451
4587.18,50684456
4587.18,50720787
4586.68,50747140
4584.41,50780742
4577.29,50826743
4577.29,50871949
4574.96,50898669
4569.84,50924799
4569.35,50963401
4568.25,50997294
4568.25,51024150
4558.44,51055500
4553.52,51081793
4553.52,51113081
4553.52,51139179
4553.52,51165176
4552.34,51191703
4547.14,51224183
4547.14,51250376
4541.22,51279827
4540.42,51306495
4536.69,51339975
4532.21,51372693
4532.21,51402158
4532.21,51428664
4519.75,51471322
4519.75,51512602
4518.6,51542915
4518.6,51569692
4518.6,51604877
4517.78,51631223
4517.78,51670638
4515.96,51701956
4513.69,51733598
4513.12,51768261
4512.07,51807138
4506.57,51840613
4506.57,51886343
4506.57,51929729
4489.5,51961433
4489.5,51998685
4485.9,52029509
4485.9,52060729
4482.2,52097674
4482.2,52139934
4479.88,52173471
4466.1,52213531
4464.53,52265916
4464.53,52314236
4464.53,52348998
4464.36,52393384
4464.36,52429607
4460.18,52465670
4460.18,52512398
4451.94,52555030
4444.14,52604596
4441.14,52662998
4437.95,52716059
4437.95,52783212
4432.73,52822324
4428.18,52856039
4422.61,52902092
4422.61,52960077
4419.44,53012920
4417.69,53054527
4417.69,53091963
4415.76,53140684
4415.76,53184233
4415.76,53224359
4415.76,53265300
4415.14,53294719
4413.56,53323681
4413.31,53352483
4413.06,53381354
4413.06,53408464
4413.06,53433946
4410.54,53462793
4402.28,53489387
4401.82,53523313
4401.82,53550329
4399.61,53584518
4397.33,53615571
4394.45,53641574
4394.45,53674303
4393.51,53701830
4391.75,53727693
4386.73,53754070
4386.37,53780258
4386.37,53806961
4386.37,53834510
4385.78,53862557
4385.78,53894227
4379.2,53927923
4379.2,53957417
4375.05,53990982
4375.05,54038541
4375.05,54090179
4374.03,54134589
4374.03,54176113
4374.03,54211853
4365.95,54246910
4365.95,54290944
4365.95,54329266
4363.37,54362851
4359.51,54407060
4336.21,54441035
4336.21,54481975
4325.68,54520072
4325.62,54548144
4325.62,54589188
4308.87,54618769
4298.19,54662606
4298.19,54698147
4298.19,54729760
4293.33,54761420
4293.33,54790265
4293.33,54817154
4293.33,54854638
4290.63,54889366
4285.48,54916785
4285.48,54956286
4284.8,54992334
4275.67,55017542
4275.67,55046206
4274.94,55071349
4274.94,55097123
4274.63,55123576
4274.63,55163680
4260.64,55193102
4260.64,55226716
4260.34,55258808
4260.34,55289965
4253.94,55325130
4253.94,55363704
4253.52,55395437
4252.51,55430812
4252.42,55460345
4252.04,55491416
4248.92,55519674
4248.31,55548154
4248.31,55586181
4245.13,55616725
4245.13,55651953
4245.13,55683089
4225.88,55714418
4225.88,55748149
4224.96,55778422
4224.96,55826449
4224.96,55855475
4221.48,55883551
4219.65,55909580
4216.61,55941402
4216.61,55967935
4216.61,55993447
