score,time
1345.08,42
927.212,501
692.715,1003
692.715,1505
692.715,2007
692.715,2509
692.715,3011
692.715,3513
692.715,4015
692.715,4529
692.715,5031
692.715,5535
692.715,6056
692.715,6558
692.715,7060
692.715,7562
692.715,8064
692.715,8566
692.715,9068
692.715,9569
692.715,10071
692.715,10573
692.715,11078
692.715,11580
692.715,12083
650.687,12585
650.687,13087
650.687,13590
650.687,14107
650.687,14610
582.941,15113
582.941,15616
582.941,16119
582.941,16622
567.927,17136
567.927,17639
556.358,18155
556.358,18663
556.358,19168
556.358,19691
556.358,20195
514.569,20698
514.569,21201
505.577,21703
458.945,22206
458.945,22714
458.945,23220
441.397,23723
438.728,24225
438.728,24727
426.983,25228
407.469,25730
387.759,26232
367.016,26734
340.167,27236
319.909,27738
316.338,28242
312.919,28745
300.6,29246
294.432,29748
290.202,30250
287.877,30752
285.834,31254
284.368,31756
280.661,32258
277.078,32760
276.983,33262
271.673,33765
270.636,34267
270.517,34772
270.517,35275
270.414,35777
270.313,36279
270.313,36781
267.782,37282
266.616,37785
266.615,38296
266.615,38799
266.615,39302
266.615,39805
266.615,40306
266.615,40808
266.615,41310
266.615,41813
266.615,42315
266.615,42816
266.275,43319
266.275,43821
266.275,44323
266.275,44824
259.999,45326
258.472,45828
255.341,46330
255.184,46831
255.184,47342
255.184,47845
255.184,48346
254.85,48848
254.85,49350
254.447,49852
253.025,50354
252.098,50855
252.098,51360
252.098,51863
252.098,52365
251.98,52867
251.978,53368
251.953,53870
248.21,54375
248.04,54877
248.04,55381
248.04,55888
248.04,56392
248.04,56895
248.04,57398
248.04,57901
248.04,58404
248.04,58906
248.04,59409
247.989,59910
246.692,60412
246.692,60914
246.689,61417
246.016,61918
246.016,62420
246.016,62922
246.016,63424
243.549,63926
243.549,64427
241.973,64929
241.755,65431
241.755,65933
241.755,66434
241.755,66936
238.838,67438
238.838,67951
238.838,68453
238.838,68955
238.838,69457
238.838,69959
238.838,70461
238.838,70962
238.838,71467
238.838,71971
238.838,72474
238.838,72976
238.838,73478
238.838,73979
238.838,74481
238.838,74983
238.838,75485
238.838,75987
238.838,76489
238.838,76991
238.838,77492
238.838,77994
238.838,78496
238.838,78997
238.838,79499
238.838,80001
238.838,80503
238.838,81004
238.838,81507
238.838,82008
238.838,82510
238.838,83012
238.838,83513
238.838,84015
238.838,84520
238.573,85022
238.573,85524
238.573,86026
238.573,86528
238.54,87029
238.414,87531
238.414,88051
238.414,88554
238.414,89057
238.414,89560
238.414,90062
238.414,90563
238.414,91065
238.414,91567
238.414,92069
238.414,92571
238.414,93072
238.414,93574
238.414,94076
238.414,94578
238.414,95080
238.414,95582
238.414,96085
238.414,96600
238.414,97103
238.414,97607
238.414,98110
238.414,98613
238.414,99116
238.414,99618
238.414,100120
238.414,100625
238.414,101128
238.414,101630
238.414,102132
238.414,102633
238.414,103135
238.414,103637
238.414,104139
238.414,104641
238.414,105158
238.414,105662
238.414,106164
238.414,106666
238.414,107168
238.414,107670
238.414,108172
238.414,108674
238.414,109176
238.414,109678
238.414,110180
238.414,110682
238.414,111184
238.414,111686
238.414,112187
238.414,112689
238.414,113191
238.414,113693
238.414,114194
238.414,114696
238.414,115198
238.414,115700
238.414,116202
238.414,116703
238.414,117205
238.414,117707
238.414,118209
238.414,118711
238.414,119213
238.414,119715
238.414,120217
238.414,120719
238.414,121221
238.414,121723
238.414,122225
238.414,122728
238.414,123232
238.414,123734
238.414,124236
238.414,124738
238.414,125240
238.414,125742
238.414,126244
238.414,126745
238.414,127247
238.414,127749
238.414,128251
