score,time
17057.2,213
17057.2,502
16901.4,1004
16777.5,1508
16777.5,2012
16724.4,2515
16628.4,3019
16628.4,3524
16628.4,4028
16628.4,4533
16628.4,5041
16546.7,5545
15856.7,6048
15856.7,6554
15856.7,7058
15799,7561
15751,8084
15751,8588
15751,9091
15751,9595
15751,10103
15751,10607
15705.6,11119
15705.6,11622
15705.6,12126
15636.2,12630
15636.2,13144
15598.2,13648
15598.2,14153
15598.2,14662
15598.2,15166
15095.2,15671
15095.2,16174
15041.2,16678
15041.2,17182
14624.4,17685
13723.9,18187
13675.5,18693
13675.5,19198
13460.8,19702
13433.7,20206
13320.3,20710
12505.8,21213
12251.8,21716
12251.7,22219
12251.7,22724
12251.7,23228
12251.7,23732
12251.7,24236
12181.3,24739
12181.3,25243
12181.3,25747
12181.3,26250
12181.3,26755
12181.3,27259
12181.3,27762
12181.3,28265
12181.3,28769
12181.3,29273
12181.3,29776
12181.3,30280
12181.3,30784
12181.3,31287
12181.3,31791
12181.3,32294
12181.3,32797
12181.3,33300
12181.3,33802
12181.3,34305
12104,34808
12104,35312
12104,35814
12104,36317
12104,36820
12104,37323
12104,37825
12104,38328
12104,38830
12104,39333
12104,39836
12104,40340
12104,40842
12104,41346
12104,41848
12104,42351
12104,42855
12104,43359
11977,43861
11977,44364
11977,44867
11977,45370
11977,45873
11786.6,46377
11786.6,46879
11786.6,47382
11786.6,47886
11786.6,48390
11786.6,48894
11786.6,49397
11786.6,49900
11786.6,50404
11786.6,50909
11786.6,51413
11786.6,51917
11054.4,52421
10995.3,52925
10995.3,53430
10867.8,53934
10867.8,54438
10867.8,54945
10867.8,55449
10867.8,55952
10867.8,56456
10867.8,56960
10867.8,57464
10679.2,57968
10679.2,58471
10639.8,58975
10639.8,59478
10639.8,59982
10639.8,60486
10639.8,60989
10567.6,61494
10567.6,61998
10567.6,62502
10567.6,63005
10567.6,63510
10567.6,64014
10567.6,64519
10567.6,65022
10292.5,65526
10044.6,66029
10044.6,66532
9877.6,67036
9877.6,67539
9461.83,68043
9365.43,68547
9365.43,69050
9365.43,69555
9365.43,70059
9365.43,70561
9365.43,71064
9365.43,71568
9365.43,72072
9365.43,72577
9365.43,73082
9365.43,73587
9365.43,74091
9365.43,74596
9183.16,75099
9024.95,75603
9024.95,76108
9024.95,76612
9024.95,77115
9024.95,77618
9024.95,78123
9024.95,78626
9024.95,79130
9024.95,79633
9024.95,80135
9024.95,80638
9024.95,81142
8875.18,81644
8857.35,82148
8857.35,82650
8857.35,83153
8857.35,83656
8836.27,84160
8836.27,84662
8836.27,85166
8836.27,85669
8826.31,86173
