score,time
2630.3,196
2535.45,503
2535.45,1016
2535.45,1525
2535.45,2035
2535.45,2555
2535.45,3067
2535.45,3575
2535.45,4080
2535.45,4585
2535.45,5128
2535.45,5631
2535.45,6139
2535.45,6651
2535.45,7168
2535.45,7680
2535.45,8187
2535.45,8698
2535.45,9206
2535.45,9710
2535.45,10225
2535.45,10729
2535.45,11232
2535.45,11737
2535.45,12240
2535.45,12744
2535.45,13247
2535.45,13749
2535.45,14253
2535.45,14755
2535.45,15260
2535.45,15764
2535.45,16268
2535.45,16771
2535.45,17275
2535.45,17779
2535.45,18283
2535.45,18787
2535.45,19293
2535.45,19797
2535.45,20300
2535.45,20814
2535.45,21318
2535.45,21821
2535.45,22323
2535.45,22826
2535.45,23330
2535.45,23838
2535.45,24342
2535.45,24845
2535.45,25349
2535.45,25852
2535.45,26354
2528.87,26857
2528.87,27360
2508.59,27865
2508.59,28367
2508.59,28869
2508.59,29372
2508.59,29876
2508.59,30378
2508.59,30882
2508.59,31388
2508.59,31893
2508.59,32396
2508.59,32898
2508.59,33400
2508.59,33904
2508.59,34408
2508.59,34912
2508.59,35417
2508.59,35922
2508.59,36426
2508.59,36930
2508.59,37433
2433.14,37935
2433.14,38438
2433.14,38941
2433.14,39445
2433.14,39947
2433.14,40449
2433.14,40951
2433.14,41455
2433.14,41958
2433.14,42461
2433.14,42965
2433.14,43469
2433.14,43993
2433.14,44508
2433.14,45016
2433.14,45519
2433.14,46039
2395.04,46545
2395.04,47048
2395.04,47552
2395.04,48055
2395.04,48557
2148.12,49059
2148.12,49562
2148.12,50064
2147.12,50568
2147.12,51072
2147.12,51589
2147.12,52093
2147.12,52597
2147.12,53101
2147.12,53604
2147.12,54106
2147.12,54609
2147.12,55112
2147.12,55617
2147.12,56119
2147.12,56622
2147.12,57126
2147.12,57630
2147.12,58133
2147.12,58637
2147.12,59141
2147.12,59644
2147.12,60148
2147.12,60651
2147.12,61160
2147.12,61665
2147.12,62168
2147.12,62673
2147.12,63175
2147.12,63678
2147.12,64181
2147.12,64683
2147.12,65187
2147.12,65690
2147.12,66192
2147.12,66695
2147.12,67198
2147.12,67701
2147.12,68205
2147.12,68708
2147.12,69211
2147.12,69713
2147.12,70218
2147.12,70722
2147.12,71225
