score,time
620.253,38892
620.253,62807
620.253,85926
620.253,108700
606.996,131492
602.043,154428
594.226,176923
551.322,198758
532.751,219009
521.31,237435
521.31,254490
521.31,270896
521.31,288108
521.31,306644
521.31,326793
474.415,347399
474.415,367514
474.415,386782
474.415,405151
474.415,422906
474.415,439846
474.415,457004
469.578,472996
469.578,483686
458.433,491472
457.099,499062
457.099,506991
439.384,514853
439.384,522692
439.384,530493
439.384,538264
439.384,546419
438.587,554537
438.587,562697
436.215,570147
433.869,578422
433.869,586466
433.869,593594
433.869,600701
433.869,607742
432.24,614946
432.24,622556
429.281,630485
429.215,637937
429.215,645002
427.905,652438
427.905,660188
426.883,668204
426.883,675990
426.883,683810
422.851,690912
422.323,699205
422.323,706669
422.323,714145
415.264,721175
402.756,729371
402.756,737733
393.751,746205
387.638,754526
387.638,762488
387.638,770212
387.638,777812
387.638,786437
387.531,795113
387.531,803477
387.531,810492
379.886,819023
379.043,826903
373.987,834030
373.987,840767
372.877,847767
372.877,854749
371.369,863801
371.369,872138
366.374,879600
366.374,886729
366.374,895139
366.374,903466
365.54,911620
363.547,918781
363.547,925924
363.143,933907
363.143,940865
363.143,948384
362.489,956334
359.134,963413
359.004,971102
358.879,979045
358.879,987591
358.879,996056
358.356,1003211
358.165,1010669
358.165,1017922
358.165,1025090
356.586,1031881
356.202,1040188
356.202,1048326
356.202,1055388
356.202,1062460
355.436,1070487
354.754,1077775
337.06,1085385
335.865,1093550
335.865,1101509
335.865,1108895
332.359,1116872
332.022,1123105
330.741,1129761
330.741,1137774
329.977,1145399
329.977,1154377
329.128,1162315
327.753,1170389
324.263,1177396
324.263,1184922
324.263,1192541
319.5,1200600
319.5,1208067
313.764,1215564
313.764,1222944
313.181,1230249
305.142,1237180
299.419,1244213
299.419,1252104
298.446,1260236
298.403,1268609
298.403,1276763
298.403,1284926
298.403,1292512
298.403,1300534
298.403,1308299
296.851,1315761
295.611,1323162
295.611,1330912
295.611,1338933
295.051,1346554
287.789,1354230
284.73,1362230
284.73,1369773
284.73,1376854
284.622,1384104
284.622,1391125
284.419,1399126
284.419,1407003
284.39,1414198
284.259,1421279
284.259,1428983
284.259,1436463
284.06,1445074
283.557,1453514
283.544,1459858
283.544,1466289
281.922,1474664
281.865,1480875
279.557,1488417
279.353,1496873
278.927,1505906
275.765,1512268
275.765,1520578
275.046,1528235
274.043,1535521
274.043,1542573
274.043,1550080
274.043,1557220
274.043,1564724
272.914,1572837
272.914,1580206
272.778,1588639
272.778,1596977
272.381,1605058
271.669,1612072
271.669,1618404
271.669,1626505
271.669,1634698
271.669,1642631
271.669,1650787
271.669,1658659
271.669,1666771
271.669,1674678
271.669,1682668
270.307,1690657
270.307,1698040
270.307,1705969
270.307,1714007
270.053,1721922
269.9,1728372
269.743,1734934
269.691,1742245
268.678,1749665
268.656,1757165
268.643,1763218
268.532,1770180
266.463,1777170
266.357,1785202
266.357,1792545
266.357,1800520
266.357,1808436
266.357,1816646
266.357,1825067
266.357,1833960
266.357,1842487
266.357,1851001
266.357,1859291
266.307,1868342
266.307,1876915
266.307,1885448
266.307,1893935
266.307,1902339
266.307,1910617
266.307,1918643
266.307,1926938
266.307,1935191
266.307,1943186
266.307,1951339
266.307,1959651
265.986,1968009
265.249,1974904
265.249,1982412
263.225,1990383
263.047,1997344
262.815,2005800
262.437,2013026
262.437,2020253
262.212,2028533
262.212,2036523
262.212,2044515
262.212,2052540
262.212,2060525
261.832,2068610
260.393,2076166
260.393,2084236
260.393,2092347
260.092,2100334
259.246,2107714
259.172,2114256
259.172,2121150
259.172,2128910
259.172,2137160
259.172,2145074
258.124,2153093
257.487,2159290
257.173,2167133
257.173,2174912
257.173,2182322
257.173,2189778
257.173,2197619
257.173,2205526
257.173,2213532
257.173,2221495
