score,time
234.349,103
234.349,205
234.349,307
234.349,408
231.28,510
231.28,612
231.28,714
231.28,815
231.28,917
231.28,1018
231.28,1120
226.462,1222
224.989,1324
224.989,1425
224.989,1527
224.989,1629
224.989,1731
224.989,1851
224.989,1967
224.989,2069
224.989,2171
222.659,2273
222.659,2374
222.659,2476
222.659,2578
222.659,2679
222.659,2781
222.659,2883
222.659,2984
222.659,3086
222.659,3188
222.659,3289
222.659,3391
222.659,3493
222.659,3594
222.659,3696
222.659,3798
222.659,3899
222.659,4001
222.659,4103
222.659,4205
222.659,4306
222.659,4408
222.659,4509
222.659,4611
222.659,4713
222.659,4815
222.01,4916
222.01,5018
222.01,5120
222.01,5221
222.01,5323
222.01,5425
222.01,5527
222.01,5628
222.01,5730
222.01,5832
222.01,5934
222.01,6035
222.01,6137
222.01,6238
222.01,6340
222.01,6442
222.01,6544
222.01,6645
222.01,6747
222.01,6848
222.01,6950
222.01,7052
222.01,7154
222.01,7256
222.01,7357
222.01,7459
222.01,7561
222.01,7662
222.01,7764
222.01,7866
222.01,7967
222.01,8069
222.01,8171
222.01,8272
222.01,8374
222.01,8476
222.01,8577
222.01,8679
222.01,8781
222.01,8882
222.01,8984
222.01,9086
222.01,9188
222.01,9308
222.01,9410
222.01,9512
222.01,9614
222.01,9716
222.01,9818
222.01,9920
222.01,10037
222.01,10139
222.01,10241
222.01,10343
222.01,10444
222.01,10546
222.01,10648
222.01,10749
222.01,10851
222.01,11020
222.01,11138
222.01,11240
222.01,11342
222.01,11462
222.01,11564
222.01,11665
222.01,11767
222.01,11869
222.01,11971
222.01,12072
222.01,12174
222.01,12276
222.01,12378
222.01,12480
222.01,12595
222.01,12697
222.01,12799
222.01,12915
222.01,13017
222.01,13119
222.01,13221
222.01,13323
222.01,13429
222.01,13531
222.01,13633
222.01,13735
222.01,13836
222.01,13938
222.01,14040
222.01,14141
222.01,14243
222.01,14345
222.01,14446
222.01,14548
222.01,14650
222.01,14751
222.01,14853
222.01,14955
222.01,15056
222.01,15158
222.01,15260
222.01,15361
222.01,15463
222.01,15565
222.01,15666
222.01,15768
222.01,15870
222.01,15972
222.01,16073
222.01,16175
222.01,16277
222.01,16378
222.01,16480
222.01,16582
222.01,16683
222.01,16785
222.01,16887
222.01,16988
222.01,17090
222.01,17192
222.01,17293
222.01,17395
222.01,17497
222.01,17598
222.01,17700
222.01,17802
222.01,17903
222.01,18005
222.01,18107
222.01,18208
222.01,18310
222.01,18412
222.01,18513
222.01,18615
222.01,18717
222.01,18818
222.01,18920
222.01,19022
222.01,19123
222.01,19225
222.01,19327
222.01,19428
222.01,19530
222.01,19632
222.01,19733
222.01,19835
222.01,19937
222.01,20038
222.01,20140
222.01,20242
222.01,20344
222.01,20445
222.01,20547
222.01,20649
222.01,20750
222.01,20852
222.01,20954
222.01,21056
222.01,21158
222.01,21259
222.01,21361
222.01,21463
222.01,21564
222.01,21666
222.01,21768
222.01,21870
222.01,21971
222.01,22073
222.01,22175
222.01,22276
222.01,22378
222.01,22480
222.01,22582
222.01,22683
222.01,22785
222.01,22887
222.01,22988
222.01,23090
222.01,23192
222.01,23293
222.01,23395
222.01,23497
222.01,23599
222.01,23700
222.01,23802
222.01,23904
222.01,24005
222.01,24107
222.01,24209
222.01,24311
222.01,24412
222.01,24514
222.01,24616
222.01,24717
222.01,24819
